lon,lat,lai_hv,wind,temperature,rain,pressure,radiation,biomass
7.0,16.5,2.5976199253597954,0.3140830410428539,316.3541060856518,0.0036351518385368564,99062.23068091649,12095015.914293561,73.8976255673069
7.0,16.75,2.614416455661531,0.4784408391852656,316.4838958566651,0.003737767177049875,99458.62897023256,12125589.315161828,44.66628525612202
6.75,16.75,2.5955907394886264,0.471257589304789,316.1780998303792,0.003393010853437313,98776.92579067392,12145723.622951793,69.49781242886618
6.5,16.75,2.6155871398179764,0.525169769986681,316.25299610921854,0.0032488811726513467,98840.83112236274,12174933.246814579,40.04577905791147
6.5,17.0,2.7062148175860896,0.6363967233991121,316.6248287325788,0.003489071295801972,99779.31333396079,12256189.560395524,62.082260107859
6.25,17.0,2.788469316292401,0.6895023637435471,316.44790910805204,0.003254265551630356,99331.74447108232,12303078.69343842,80.5736131633393
6.25,17.25,2.8544290064783073,0.8691844282976418,316.26404787719366,0.003303115134831232,99241.72130818159,12301491.752922954,81.1972134415884
6.0,17.25,2.911954196051364,0.9617349320208343,316.0510501671282,0.0033637479242035638,98956.09226045942,12293284.294944528,76.63119504877982
6.0,17.5,2.905916810615989,0.9230966089795342,315.8073632501237,0.003489929675059495,98621.05235120689,12258371.603604289,98.08106389700198
5.75,17.5,2.8192806083527024,0.9332035675832924,315.91367943130564,0.0030372516684328615,98713.48354109879,12218896.458282087,76.33707355564732
5.5,17.5,2.7621121987130404,0.9820496667705324,315.8285534168198,0.0029103676072753178,98562.14830634589,12200721.030190896,56.688524921594265
5.5,17.75,3.0239552217042602,0.9419242849820462,315.8962340785516,0.002915595917298414,98731.59005174397,12265190.488631682,60.44897263868766
5.25,17.75,2.7712156617010035,1.0216457564625623,315.46238368283525,0.0032895371356667716,98040.25476422066,12288126.738269266,76.55201989208295
5.25,18.0,2.9989137301292845,0.6507128143889739,316.23354134410545,0.0031791963838360415,99398.89137756694,12399237.370297406,58.412123071664155
5.0,18.0,2.8844040955697245,0.6129314404562223,316.0540642856669,0.003213297450703105,98975.58801744564,12424653.214490406,67.30528147285628
4.75,18.0,2.9130635586567544,0.7386761199428793,317.29478508049044,0.002953754777019225,101058.53136480975,12484436.239221463,63.460635841605196
4.75,18.25,2.9619089614127487,0.8453914883426601,317.1761384143777,0.002936821295302629,101188.56482233308,12536904.46001404,37.49420596549313
4.5,18.25,3.283551646052401,0.8726122247318344,316.9277019772517,0.002943610294884859,101009.76881823852,12504694.526739199,69.15080747008324
4.5,18.5,2.9673554300834413,1.0171341714499125,316.84595542900604,0.0034384269196080937,101279.0510673475,12540822.219411591,56.31595325739878
4.25,18.5,3.875321337761725,0.939076189415401,316.81645360209734,0.003260820447778717,101545.2306662948,12389418.175857965,74.91445448330272
4.25,18.75,3.675089749518194,1.1869613212557044,316.57322336972004,0.0032644880682426796,101117.25017682528,12416520.144348647,109.59215311570601
4.0,18.75,3.830528732061609,1.1441894789849372,316.80275306328537,0.0034413922297704485,101713.93148031099,12322841.062045075,83.0292882300875
3.75,18.75,4.899196126300844,0.9977519989653987,316.50755212034727,0.00391545168335721,101597.97571904375,12263206.812987348,38.62719029499679
3.75,19.0,3.6171353090877774,1.119161524138224,316.9530023055914,0.0036197010119014355,101478.59315013522,12413916.570065463,45.29182434143718
3.5,19.0,3.169354193934557,1.2736392031467874,316.8560938277271,0.0030459915299640094,101662.94613959402,12429066.892799046,30.78319937280737
3.5,19.25,3.4560045716694616,1.1835083204359664,317.1186874882922,0.0029482143290843017,101795.61916516535,12604423.819757987,30.622575039559223
3.25,19.25,3.9334095706671652,1.1547501165285148,316.8581945770116,0.002806893889504775,101821.320222475,12548831.30982558,50.970397224443445
3.0,19.25,4.581054344757605,0.8749310282020231,316.5548646477117,0.003376233440676631,101566.57875173575,12574619.093201894,96.99575866572846
3.0,19.5,5.3578980522277435,0.8432491155712899,316.4378620462565,0.0032697944127437345,101359.16427301537,12649527.644720979,48.48140892558251
2.75,19.5,5.630489070712403,0.7195964000849118,316.2287918239839,0.0032061182787310924,101089.09478431311,12597728.914458362,96.54640200801232
2.75,19.75,5.72146237904099,0.6968368399372968,316.4732094363917,0.003051766081332801,101593.0207404273,12619226.99925381,120.73067441930625
2.5,19.75,5.6357571494164,0.703389980179135,316.5133063466485,0.003219150036549856,101544.628659547,12584339.103859123,149.08652998746237
2.5,20.0,5.668112629625918,0.7210330500610072,316.3400401991381,0.003045991529964007,101251.49768158313,12668744.502525443,11.159168243408203
2.25,20.0,5.409692464120684,0.7194451737716385,316.88669169774073,0.0027563275477888527,101943.43497585424,12629641.296386555,135.942254656751
2.0,20.0,4.8957063725773455,0.7982592873725161,316.8550891215475,0.0027500067550743643,101962.745499995,12627459.253177786,109.22751778240291
2.0,20.25,5.222488918132429,0.77071089397125,317.00588638540603,0.0027634286852829103,102056.79747728482,12647940.704205515,77.87968509969576
1.75,20.25,5.30642697214944,0.8222790667974076,316.6471149423799,0.002908884952194141,101489.56819622961,12704351.4803412,133.15304280903715
1.75,20.5,5.396017758236132,0.7120098800357069,316.7445714417966,0.0026536341747978786,101316.42179392205,12765795.833424378,120.58761724699016
1.5,20.5,5.456319141665893,0.6910902400329156,317.0025982560911,0.0026887496898783786,101750.19080981267,12804179.957142204,122.5597090434481
1.25,20.5,5.411130733227172,0.7675603457780584,317.0447959156324,0.002271577370722029,101606.6353545697,12912017.524357196,166.82909818333152
1.25,20.75,5.49824635852595,0.7295521323753967,317.1037995694498,0.002361395054850154,101601.40252668502,12962700.437069874,177.85926070580115
